functional_area,subgroup,classification_ids,workload_assumptions,formula_id,operational_assumptions,capacity_output
BEDS_INPATIENT_WARD,paediatric non-elective medical,"CLASS_AGE_CHILD, CLASS_NON_ELECTIVE, CLASS_MEDICAL",WARD_PAED_NON_ELECTIVE_MEDICAL_ZERO_DAY_LOS,FRM_BED_OCCUPANCY,"WARD_PAEDIATRIC_OCC, WARD_ANNUAL_OPERATIONAL_DAYS",PAEDIATRIC_INPATIENT_WARD_BEDS
BEDS_INPATIENT_WARD,paediatric non-elective surgical,"CLASS_AGE_CHILD, CLASS_NON_ELECTIVE, CLASS_SURGICAL",WARD_PAED_NON_ELECTIVE_SURGICAL_ZERO_DAY_LOS,FRM_BED_OCCUPANCY,"WARD_PAEDIATRIC_OCC, WARD_ANNUAL_OPERATIONAL_DAYS",PAEDIATRIC_INPATIENT_WARD_BEDS
SPACES_HAEM_ONC_TRT,All groups,"CLASS_DAYCASE, CLASS_HAEM_ONC, CLASS_HAS_PROCEDURE",HAEM_ONC_TREATMENT_TIME,FRM_TIME_UTIL,"HAEM_ONC_TREATMENT_UTIL, HAEM_ONC_ANNUAL_OPERATIONAL_HOURS",HAEM_ONC_TRT_SPACES
BEDS_MATERNITY_ASSESSMENT,All groups,"CLASS_MATERNITY, CLASS_ZERO_LOS, CLASS_NO_BIRTH_EVENT",MATERNITY_ASSESSMENT_ZERO_DAY_LOS,FRM_RECOVERY_OCCUPANCY,"MATERNITY_ASSESSMENT_OCC, MATERNITY_ASSESSMENT_ANNUAL_OPERATIONAL_HOURS",MATERNITY_ASSESSMENT_BEDS
BEDS_MATERNITY_WARD_BIRTH,Normal delivery,"CLASS_MATERNITY, CLASS_BIRTH_NORMAL",MATERNITY_WARD_NORMAL_DELIVERY_ZERO_DAY_LOS,FRM_BED_OCCUPANCY,"MATERNITY_WARD_OCC, MATERNITY_WARD_ANNUAL_OPERATIONAL_DAYS",NORMAL_DELIVERY_MATERNITY_WARD_BEDS
BEDS_MATERNITY_WARD_BIRTH,Assisted delivery,"CLASS_MATERNITY, CLASS_BIRTH_ASSISTED",MATERNITY_ASSISTED_DELIVERY_ZERO_DAY_LOS,FRM_BED_OCCUPANCY,"MATERNITY_WARD_OCC, MATERNITY_WARD_ANNUAL_OPERATIONAL_DAYS",ASSISTED_DELIVERY_MATERNITY_WARD_BEDS
BEDS_MATERNITY_WARD_BIRTH,Elective C-section,"CLASS_MATERNITY, CLASS_BIRTH_ELECTIVE_CSECTION",MATERNITY_WARD_ELECTIVE_C_SECTION_ZERO_DAY_LOS,FRM_BED_OCCUPANCY,"MATERNITY_WARD_OCC, MATERNITY_WARD_ANNUAL_OPERATIONAL_DAYS",ELECTIVE_C_SECTION_MATERNITY_WARD_BEDS
BEDS_MATERNITY_WARD_BIRTH,Non-Elective C-section,"CLASS_MATERNITY, CLASS_BIRTH_NONELECTIVE_CSECTION",MATERNITY_NON_ELECTIVE_C_SECTION_BIRTH_ROOM_LOS,FRM_BED_OCCUPANCY,"MATERNITY_WARD_OCC, MATERNITY_WARD_ANNUAL_OPERATIONAL_DAYS",NON_ELECTIVE_C_SECTION_MATERNITY_WARD_BEDS
BEDS_MATERNITY_WARD_NO_BIRTH,All groups,"CLASS_MATERNITY, CLASS_NO_BIRTH_EVENT, CLASS_NON_ZERO_LOS",,FRM_BED_OCCUPANCY,"MATERNITY_WARD_NO_BIRTH_OCC, MATERNITY_WARD_NO_BIRTH_ANNUAL_OPERATIONAL_DAYS",MATERNITY_WARD_NO_BIRTH_BEDS
ROOMS_MATERNITY_BIRTH,Normal delivery,"CLASS_MATERNITY, CLASS_BIRTH_NORMAL",MATERNITY_NORMAL_DELIVERY_BIRTH_ROOM_LOS,FRM_BED_OCCUPANCY,"MATERNITY_BIRTH_ROOM_OCC, MATERNITY_BIRTH_ROOM_ANNUAL_OPERATIONAL_DAYS",NORMAL_DELIVERY_MATERNITY_BIRTH_ROOMS
