Assumption ID,Assumption Plain Text,Functional Area ID,Subgroup,Subgroup Variable Name,Metric,Assumption Category,Type,Unit,Value,Scope,Derivation,Source,Notes
DAYCASE_ENDOSCOPY_RECOVERY_OCC,Occupancy rate in day case endoscopy recovery,BEDS_DAYCASE_ENDOSCOPY_RECOVERY,all groups,,Occupancy rate,operational,proportion,percentage,0.85,functional area,,,
DAYCASE_RECOVERY_ADULT_MEDICAL_LOS,Duration of stay in adult medical day case recovery,BEDS_DAYCASE_RECOVERY,adult medical,,Length of stay,workload,duration,hours,7,subgroup,,,H2.0 Operational Standards references 2 patients per bed per day for Beds - Day (medical)
DAYCASE_RECOVERY_ADULT_MEDICAL_OCC,Occupancy rate in adult medical day case recovery,BEDS_DAYCASE_RECOVERY,adult medical,,Occupancy rate,operational,proportion,percentage,0.85,subgroup,,,H2.0 Operational Standards references 2 patients per bed per day for Beds - Day (medical)
DAYCASE_RECOVERY_ADULT_SURGICAL_LOS,Duration of stay in adult surgical day case recovery,BEDS_DAYCASE_RECOVERY,adult surgical,,Length of stay,workload,duration,hours,9.3,subgroup,,,H2.0 Operational Standards references 1.5 patients per bed per day for Beds - Day (surgical)
DAYCASE_RECOVERY_ADULT_SURGICAL_OCC,Occupancy rate in adult surgical day case recovery,BEDS_DAYCASE_RECOVERY,adult surgical,,Occupancy rate,operational,proportion,percentage,0.85,subgroup,,,H2.0 Operational Standards references 1.5 patients per bed per day for Beds - Day (surgical)
DAYCASE_RECOVERY_ANNUAL_OPERATIONAL_HOURS,Hours per year that day case recovery is operational,BEDS_DAYCASE_RECOVERY,all groups,,Annual operational hours,operational,duration,hours,4032,functional area,14 hours/day × 6 days/week × 48 weeks/year,,H2.0 Operational Standard references a patients per bed day target split by medical/surgical
DAYCASE_RECOVERY_PAEDIATRIC_MEDICAL_LOS,Duration of stay in paediatric medical day case recovery,BEDS_DAYCASE_RECOVERY,paediatric medical,,Length of stay,workload,duration,hours,7,subgroup,,,H2.0 Operational Standards references 2 patients per bed per day for Beds - Day (medical)
DAYCASE_RECOVERY_PAEDIATRIC_MEDICAL_OCC,Occupancy rate in paediatric medical day case recovery,BEDS_DAYCASE_RECOVERY,paediatric medical,,Occupancy rate,operational,proportion,percentage,0.85,subgroup,,,H2.0 Operational Standards references 2 patients per bed per day for Beds - Day (medical)
DAYCASE_RECOVERY_PAEDIATRIC_SURGICAL_LOS,Duration of stay in paediatric surgical day case recovery,BEDS_DAYCASE_RECOVERY,paediatric surgical,,Length of stay,workload,duration,hours,9.3,subgroup,,,H2.0 Operational Standards references 1.5 patients per bed per day for Beds - Day (surgical)
DAYCASE_RECOVERY_PAEDIATRIC_SURGICAL_OCC,Occupancy rate in paediatric surgical day case recovery,BEDS_DAYCASE_RECOVERY,paediatric surgical,,Occupancy rate,operational,proportion,percentage,0.85,subgroup,,,H2.0 Operational Standards references 1.5 patients per bed per day for Beds - Day (surgical)
